Date,Currency,Currency Pair,Buying,Selling,Mid Rate
26-Mar-25,US Dollar,USDGHS,15.5222,15.5378,15.53
25-Mar-25,US Dollar,USDGHS,15.5122,15.5278,15.52
24-Mar-25,US Dollar,USDGHS,15.5122,15.5278,15.52
21-Mar-25,US Dollar,USDGHS,15.5222,15.5378,15.53
20-Mar-25,US Dollar,USDGHS,15.5222,15.5378,15.53
19-Mar-25,US Dollar,USDGHS,15.5222,15.5378,15.53
18-Mar-25,US Dollar,USDGHS,15.5322,15.5478,15.54
17-Mar-25,US Dollar,USDGHS,15.5322,15.5478,15.54
14-Mar-25,US Dollar,USDGHS,15.5222,15.5378,15.53
13-Mar-25,US Dollar,USDGHS,15.5222,15.5378,15.53
12-Mar-25,US Dollar,USDGHS,15.5322,15.5478,15.54
11-Mar-25,US Dollar,USDGHS,15.5322,15.5478,15.54
10-Mar-25,US Dollar,USDGHS,15.5322,15.5478,15.54
7-Mar-25,US Dollar,USDGHS,15.5422,15.5578,15.55
5-Mar-25,US Dollar,USDGHS,15.5122,15.5278,15.52
4-Mar-25,US Dollar,USDGHS,15.5122,15.5278,15.52
3-Mar-25,US Dollar,USDGHS,15.5222,15.5378,15.53
28-Feb-25,US Dollar,USDGHS,15.5222,15.5378,15.53
27-Feb-25,US Dollar,USDGHS,15.5322,15.5478,15.54
26-Feb-25,US Dollar,USDGHS,15.5222,15.5378,15.53
25-Feb-25,US Dollar,USDGHS,15.5222,15.5378,15.53
24-Feb-25,US Dollar,USDGHS,15.4923,15.5078,15.5
21-Feb-25,US Dollar,USDGHS,15.5322,15.5478,15.54
20-Feb-25,US Dollar,USDGHS,15.5422,15.5578,15.55
19-Feb-25,US Dollar,USDGHS,15.5422,15.5578,15.55
18-Feb-25,US Dollar,USDGHS,15.4923,15.5078,15.5
17-Feb-25,US Dollar,USDGHS,15.4923,15.5078,15.5
14-Feb-25,US Dollar,USDGHS,15.4923,15.5078,15.5
13-Feb-25,US Dollar,USDGHS,15.4823,15.4977,15.49
12-Feb-25,US Dollar,USDGHS,15.4573,15.4727,15.465
11-Feb-25,US Dollar,USDGHS,15.4423,15.4577,15.45
10-Feb-25,US Dollar,USDGHS,15.4723,15.4877,15.48
7-Feb-25,US Dollar,USDGHS,15.4773,15.4927,15.485
6-Feb-25,US Dollar,USDGHS,15.4423,15.4577,15.45
5-Feb-25,US Dollar,USDGHS,15.4423,15.4577,15.45
4-Feb-25,US Dollar,USDGHS,15.3723,15.3877,15.38
3-Feb-25,US Dollar,USDGHS,15.2924,15.3077,15.3
31-Jan-25,US Dollar,USDGHS,15.2924,15.3077,15.3
30-Jan-25,US Dollar,USDGHS,15.2899,15.3051,15.2975
29-Jan-25,US Dollar,USDGHS,15.2424,15.2576,15.25
